id,snapshot_date,popularity,vote_average,vote_count
727348,2026-02-20,1.5988,7.0,1
787487,2026-02-20,0.0585,1.0,2
878259,2026-02-20,0.4607,0.0,0
834699,2026-02-20,0.1311,7.0,1
764141,2026-02-20,0.0771,7.5,2
740883,2026-02-20,0.2212,7.125,4
753740,2026-02-20,0.0143,5.0,1
662167,2026-02-20,0.559,4.1,7
741861,2026-02-20,0.1221,3.0,2
743478,2026-02-20,0.6098,8.0,1
1487433,2026-02-20,0.0214,0.0,0
665166,2026-02-20,0.5685,0.0,0
759870,2026-02-20,1.7703,0.0,0
712110,2026-02-20,0.4494,4.389,18
782672,2026-02-20,0.0495,0.0,0
1106809,2026-02-20,0.229,0.0,0
718529,2026-02-20,0.2415,5.2,37
709169,2026-02-20,0.3881,4.526,19
340102,2026-02-20,6.0925,6.085,3646
743352,2026-02-20,1.3617,8.0,0
852773,2026-02-20,0.0214,0.0,0
858180,2026-02-20,1.0391,6.0,2
659551,2026-02-20,0.4458,5.518,28
738968,2026-02-20,3.5824,6.0,1
682744,2026-02-20,1.9288,6.5,4
660004,2026-02-20,0.5081,5.727,64
711434,2026-02-20,0.0538,4.5,2
521531,2026-02-20,0.7335,5.973,92
1057293,2026-02-20,0.0286,0.0,0
750638,2026-02-20,3.581,10.0,1
781188,2026-02-20,0.238,4.3,22
653601,2026-02-20,4.2084,5.653,590
608386,2026-02-20,0.2347,4.0,4
746381,2026-02-20,0.3449,0.0,0
667018,2026-02-20,0.1703,7.2,74
579221,2026-02-20,0.6499,6.3,29
649580,2026-02-20,0.1089,2.0,2
353047,2026-02-20,4.8072,7.254,65
749309,2026-02-20,0.1393,0.0,0
599520,2026-02-20,0.1777,5.667,12
663881,2026-02-20,2.0624,6.369,42
750109,2026-02-20,4.3805,4.4,9
752898,2026-02-20,1.5789,7.0,3
728939,2026-02-20,0.402,5.811,46
701510,2026-02-20,0.4766,5.3,26
642121,2026-02-20,2.2785,7.9,153
739617,2026-02-20,0.0722,0.0,0
741592,2026-02-20,4.6044,4.6,59
539529,2026-02-20,0.3913,6.7,51
752073,2026-02-20,0.3941,7.3,3
667635,2026-02-20,0.1048,7.0,5
757137,2026-02-20,0.1434,3.0,1
707776,2026-02-20,0.1084,0.0,0
743849,2026-02-20,0.2257,5.0,3
592834,2026-02-20,6.3149,6.868,1351
658462,2026-02-20,0.2088,5.7,13
756363,2026-02-20,0.2429,5.5,2
727515,2026-02-20,0.0607,6.0,1
1390083,2026-02-20,0.1945,0.0,0
661950,2026-02-20,1.4451,5.9,199
791862,2026-02-20,0.3779,7.0,1
594089,2026-02-20,0.1819,5.9,17
943898,2026-02-20,0.0984,0.0,0
665488,2026-02-20,5.1331,5.728,248
759893,2026-02-20,0.1121,6.0,5
643791,2026-02-20,0.2028,4.8,23
593517,2026-02-20,0.0423,4.0,4
726239,2026-02-20,0.4466,6.13,69
