id,popularity,vote_average,vote_count
588077,0.1117,0.0,0
757646,0.3776,0.0,0
686627,0.0453,0.0,0
716750,0.1397,5.4,16
1079715,0.2774,6.0,1
1292254,1.5513,0.0,0
884483,0.5199,4.8,2
752829,0.0239,0.0,0
845121,0.1579,8.8,3
726075,0.2798,6.3,3
764079,0.8008,6.9,150
728047,0.0459,2.0,2
771264,2.539,6.0,1
892444,0.0505,6.0,3
565379,3.9144,6.2,25
682697,0.3326,4.7,3
750811,0.0286,0.0,0
718576,0.1134,4.0,3
638483,0.3457,7.9,16
476637,0.2897,4.5,8
787506,0.123,0.0,0
750634,0.1305,0.0,0
1527801,0.599,0.0,0
703359,1.8691,7.0,1
654435,0.0888,5.4,8
664593,4.3213,5.8,53
741689,5.0049,8.1,40
973279,0.1463,0.0,0
750142,0.0676,10.0,1
1291688,0.0474,0.0,0
443791,4.9559,6.285,3369
679770,0.0991,0.0,0
744936,0.2736,6.364,11
681181,0.2098,4.2,5
534928,0.6316,5.435,46
878379,2.1029,0.5,1
816614,4.1461,6.69,29
743813,0.3174,0.0,0
736298,0.1561,6.2,5
840280,0.3452,8.0,1
634301,1.5984,4.25,14
610201,0.627,5.151,96
644090,1.4015,6.38,664
727417,0.2157,6.9,5
672822,2.2525,7.0,1
736358,0.09,0.0,0
726208,1.6064,6.481,790
705419,0.0788,0.0,0
730804,0.0845,4.0,1
1371828,0.0814,0.0,0
657350,0.7169,6.625,24
749560,0.0653,0.0,0
764025,0.0795,0.0,0
770391,0.3008,6.0,3
856468,0.1082,0.0,0
786133,0.1101,5.667,3
750602,1.2367,3.6,9
713474,0.1689,5.968,63
661664,0.2967,5.2,4
1515648,1.1072,0.0,0
792742,0.3114,4.6,7
740269,1.326,6.5,2
725206,0.1595,4.5,8
672227,0.1021,2.0,1
762921,0.182,6.5,37
622139,0.1692,6.7,15
779909,1.2166,0.0,0
696400,0.0322,0.0,0
723562,2.2911,7.0,3
1281982,3.5204,7.0,1
1167360,1.8593,0.0,0
729097,2.6455,5.8,13
1132109,0.0431,0.0,0
663774,0.0897,7.0,2
1056264,0.1158,4.0,1
481848,5.0581,7.523,3899
505379,2.5919,6.3,1149
634311,0.1043,5.9,4
883136,0.0505,1.0,2
613339,4.9438,5.5,36
581392,4.2404,6.733,2533
1460212,0.0502,1.0,1
688391,0.0357,6.0,1
706568,2.6726,5.7,14
719904,1.0263,6.4,6
743907,0.3384,0.0,0
1236811,0.4119,8.0,1
680734,3.9636,6.0,82
763563,1.6015,5.4,6
568768,0.2554,6.889,18
659994,0.8402,6.295,83
666180,0.2325,5.1,96
656483,4.0562,6.022,45
617933,0.0588,0.0,0
1074936,0.1868,0.0,0
1271939,0.18,0.0,0
682618,0.2929,6.0,11
509635,4.3201,6.371,821
749552,0.3099,5.5,20
732143,0.3439,0.0,0
